"Severity","Date","Finding","Target","Template","Rules Package","ARN","Rule","AWS agent ID","AMI ID","Auto Scaling Group","Hostname","IPv4 Addresses","Asset Type","Confidence","Description","Indicator of Compromise","Numeric Severity","Recommendation","Service","Assessment Run ARN","Rules Package ARN","CVSS2 Score","CVSS2 Vector","CVSS3 Score","CVSS3 Vector","CIS Weight","Last Update"
"Informational","1602351216496","On instance i-0ff3c98df95ad1820, UDP port 445 which is associated with 'SMB' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-fLZlkQ4s","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 445, which is associated with SMB, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 445","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351216496"
"Informational","1602351220147","On instance i-0ff3c98df95ad1820, UDP port 20 which is associated with 'FTP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-FlrCqKDy","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 20, which is associated with FTP, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 20","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351220147"
"Informational","1602351220129","On instance i-0ff3c98df95ad1820, UDP port 21 which is associated with 'FTP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-U7dSIeth","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 21, which is associated with FTP, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 21","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351220129"
"Informational","1602351216512","On instance i-0ff3c98df95ad1820, UDP port 137 which is associated with 'NetBIOS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-wcrUu95Y","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 137, which is associated with NetBIOS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 137","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351216512"
"Informational","1602351216580","On instance i-0ff3c98df95ad1820, UDP port 515 which is associated with 'Print Services' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-47IdI8OK","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 515, which is associated with Print Services, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 515","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351216580"
"Informational","1602351217518","On instance i-0ff3c98df95ad1820, TCP port 23 which is associated with 'Telnet' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-2xHMaCjt","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 23, which is associated with Telnet, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 23","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351217518"
"Informational","1602351218754","On instance i-0ff3c98df95ad1820, TCP port 636 which is associated with 'LDAP over TLS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-izQW8F2e","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 636, which is associated with LDAP over TLS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 636","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218754"
"Informational","1602351218360","On instance i-0ff3c98df95ad1820, TCP port 1110 which is associated with 'NFS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-HVk5kwoD","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 1110, which is associated with NFS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 1110","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218360"
"Medium","1602351219802","On instance i-0ff3c98df95ad1820, process 'systemd-netwo' is listening on UDP port 68 which is associated with 'DHCP' and is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-0pTgWc0v","Recognized port with listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, UDP port 68, which is associated with DHCP, is reachable from the internet with a process listening on the port. The process has name ‘systemd-netwo’, process id 27170, and uses binary /lib/systemd/systemd-networkd. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","6","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 68","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351219802"
"Informational","1602351218313","On instance i-0ff3c98df95ad1820, TCP port 137 which is associated with 'NetBIOS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7/finding/0-a9itZo9i","Recognized port with no listener reachable from internet","i-0ff3c98df95ad1820","ami-0964e67a489e13cdb","","ec2-54-204-160-93.compute-1.amazonaws.com","","ec2-instance","10","On this instance, TCP port 137, which is associated with NetBIOS, is reachable from the internet with no process listening. The instance i-0ff3c98df95ad1820 is located in VPC vpc-0821c4ee8cde3151a and has an attached ENI eni-0b2cc22726a856b05 which uses network ACL acl-0b56b5bb87d21bf50. The port is reachable from the internet through Security Group sg-075be92740548b793 and IGW igw-04bf944e4bbafec51","","","You can edit the Security Group sg-075be92740548b793 to remove access from the internet on port 137","Inspector","arn:aws:inspector:us-east-1:595824533341:target/0-V5VjfjdM/template/0-7lK7VVUL/run/0-HSPRmjb7","arn:aws:inspector:us-east-1:316112463485:rulespackage/0-PmNV0Tcd","","","","","","1602351218313"
